type_acci;date;heure;commune;luminosite_accident;cond_atmos;Intersection;categorie_route;type_collision;type_vehicule_1;manoeuvre_vehicule_1;type_vehicule_2;age_usager;sexe_usager;gravite_usager;etat_usager;nombre_usagers;nb_veh;nombre_pietons;nombre_motos;nombre_vl;nombre_pl;age_usa1_categ;accident_pieton;accident_moto;categorie_vl;accident_pl;categorie_age;categorie_usagers
Grave;23/10/2014;09:30;Asnieres-sur-Seine;Plein jour;Autre;Hors intersection;Route departementale;Autre collision;Motocyclette > 125 cm3;Non renseignee ;Non renseignee ;42;Masculin;Indemne;Non renseignee ;3;1;2;1;0;0;Adulte (35-49);Avec pieton;Avec moto;Aucun VL;Sans poids lourd;Adulte (35-49);3-5 usagers
Grave;07/10/2014;23:35;Boulogne-Billancourt;Nuit avec eclairage public allumee;Autre;Place;Voie commuNon renseignee le;Autre collision;VL seul;Sans changement de direction;Non renseignee ;28;Masculin;Indemne;Non renseignee ;2;1;1;0;1;0;Adulte jeune (25-34);Avec pieton;Sans moto;1 VL;Sans poids lourd;Adulte jeune (25-34);2 usagers
Grave;12/04/2014;12:20;Sceaux;Plein jour;Autre;Intersection en T;Route departementale;Autre collision;VL seul;Sans changement de direction;Non renseignee ;74;Masculin;Indemne;Non renseignee ;2;1;1;0;1;0;Senior (65+);Avec pieton;Sans moto;1 VL;Sans poids lourd;Senior (65+);2 usagers
Grave;14/03/2014;10:52;La Garenne-Colombes;Plein jour;Autre;Hors intersection;Voie commuNon renseignee le;Autre collision;PL seul > 7,5T;En marche arriere;Non renseignee ;24;Masculin;Indemne;Non renseignee ;2;1;1;0;0;1;Jeune adulte (18-24);Avec pieton;Sans moto;Aucun VL;Avec poids lourd;Jeune adulte (18-24);2 usagers
Grave;23/09/2014;11:25;Levallois-Perret;Plein jour;Autre;Hors intersection;Voie commuNon renseignee le;Autre collision;VL seul;En marche arriere;Non renseignee ;58;Feminin;Indemne;Non renseignee ;2;1;1;0;1;0;Senior actif (50-64);Avec pieton;Sans moto;1 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;19/09/2014;08:50;Courbevoie;Plein jour;Temps couvert;Intersection en X;Route departementale;Collision par le cote;VL seul;Sedeportant A'auche;Scooter > 50 cm3 et <= 125 cm3;60;Masculin;Indemne;Non renseignee ;3;2;0;1;1;0;Senior actif (50-64);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Senior actif (50-64);3-5 usagers
Leger;06/07/2014;13:15;Non renseignee nterre;Plein jour;Pluie forte;Hors intersection;Autoroute;Sans collision;Scooter > 50 cm3 et <= 125 cm3;Meme sens, Meme file;Non renseignee ;29;Feminin;Blessee Leger;Non renseignee ;1;1;0;1;0;0;Adulte jeune (25-34);Sans pieton;Avec moto;Aucun VL;Sans poids lourd;Adulte jeune (25-34);1 usager
Leger;09/09/2014;18:54;Colombes;Plein jour;Autre;Hors intersection;Autoroute;Collision par l'arriere;Motocyclette > 125 cm3;Entre 2 files;VL seul;56;Masculin;Blessee Leger;Non renseignee ;2;2;0;1;1;0;Senior actif (50-64);Sans pieton;Avec moto;1 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;14/11/2014;11:40;Neuilly-sur-Seine;Plein jour;Pluie legere;Hors intersection;Route Non renseignee tioNon renseignee le;Sans collision;Scooter > 50 cm3 et <= 125 cm3;Non renseignee ;Non renseignee ;18;Masculin;Blessee Leger;Non renseignee ;1;1;0;1;0;0;Jeune adulte (18-24);Sans pieton;Avec moto;Aucun VL;Sans poids lourd;Jeune adulte (18-24);1 usager
Leger;23/05/2014;16:43;Antony;Plein jour;Autre;Hors intersection;Autoroute;Collision par le cote;VU seul 1,5T <= PTAC <= 3,5T;Changeant de file A$roite;Motocyclette > 125 cm3;48;Masculin;Indemne;Non renseignee ;2;2;0;1;1;0;Adulte (35-49);Sans pieton;Avec moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;19/09/2014;12:15;Asnieres-sur-Seine;Plein jour;Autre;Hors intersection;Route departementale;Collision par le cote;VL seul;Sans changement de direction;Scooter > 50 cm3 et <= 125 cm3;40;Masculin;Indemne;Non renseignee ;2;2;0;1;1;0;Adulte (35-49);Sans pieton;Avec moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;08/01/2014;20:15;Boulogne-Billancourt;Nuit avec eclairage public allumee;Pluie legere;Intersection en X;Voie commuNon renseignee le;Collision par le cote;Motocyclette > 125 cm3;Sans changement de direction;VL seul;59;Masculin;Blessee Leger;Non renseignee ;2;2;0;1;1;0;Senior actif (50-64);Sans pieton;Avec moto;1 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;08/02/2014;20:10;Boulogne-Billancourt;Nuit avec eclairage public allumee;Autre;Intersection en X;Route departementale;Collision par le cote;VL seul;Changeant de file A'auche;Scooter > 50 cm3 et <= 125 cm3;23;Feminin;Indemne;Non renseignee ;2;2;0;1;1;0;Jeune adulte (18-24);Sans pieton;Avec moto;1 VL;Sans poids lourd;Jeune adulte (18-24);2 usagers
